-0.44118,-25,11,7,-11,0,5,-0.57942,-0.53413,-0.55142,-0.56092,-0.54348,-0.54466
-0.5,-6,-25,11,7,-11,0,-0.58744,-0.57942,-0.53413,-0.55142,-0.56092,-0.54348
-0.31818,-35,-6,-25,11,7,-11,-0.61093,-0.58744,-0.57942,-0.53413,-0.55142,-0.56092
-0.5,6,-35,-6,-25,11,7,-0.59913,-0.61093,-0.58744,-0.57942,-0.53413,-0.55142
-0.5,119,6,-35,-6,-25,11,-0.41651,-0.59913,-0.61093,-0.58744,-0.57942,-0.53413
-0.16667,11,119,6,-35,-6,-25,-0.40247,-0.41651,-0.59913,-0.61093,-0.58744,-0.57942
0.16667,8,11,119,6,-35,-6,-0.39262,-0.40247,-0.41651,-0.59913,-0.61093,-0.58744
-0.5,2,8,11,119,6,-35,-0.38999,-0.39262,-0.40247,-0.41651,-0.59913,-0.61093
-0.28723,-11,2,8,11,119,6,-0.41245,-0.38999,-0.39262,-0.40247,-0.41651,-0.59913
-0.5,-134,-11,2,8,11,119,-0.62277,-0.41245,-0.38999,-0.39262,-0.40247,-0.41651
